yearmonth,pr,eto,tasmin,tasmax,tas
2004 Sep,127.936963882672,123.589183712852,23.6797913982083,32.9232925971819,28.3015419976951
2004 Oct,135.539060017061,132.78427351297,24.0777410673581,33.2030880027519,28.640414535055
2004 Nov,76.7427262413431,127.281691332541,24.4826784908889,34.1207610030616,29.3017197469753
2004 Dec,176.344653177544,112.085345062278,23.7987876185071,32.8923813091205,28.3455844638138
2005 Jan,226.398554587505,125.949816743298,23.9232563918773,33.4398876913951,28.6815720416362
2005 Feb,317.650164135814,96.2216863462911,23.8557418849845,31.672643282609,27.7641925837967
2005 Mar,409.175599950305,97.9166885621449,23.9167424766452,31.4742068640033,27.6954746703242
2005 Apr,331.973720448962,96.1742716378714,24.4516902791913,31.5359563981758,27.9938233386835
2005 May,238.256153084117,106.805193301489,24.4121424694465,32.0225985782432,28.2173705238449
2005 Jun,124.184894477122,113.961509100079,24.1504799803333,32.6571939648961,28.4038369726147
2005 Jul,134.699443977965,119.444207106822,23.7364361343049,32.592875675974,28.1646559051394
